fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,density-kg/m^3,quality classification,Red,White
7.4,0.7,0.0,1.9,0.076,11.0,0.06451612903225806,3.51,0.56,9.4,5,997.8000000000001,Mala,1,0
7.8,0.88,0.0,2.6,0.098,25.0,0.14055299539170507,3.2,0.68,9.8,5,996.8000000000001,Mala,1,0
7.8,0.76,0.04,2.3,0.092,15.0,0.11059907834101383,3.26,0.65,9.8,5,997.0,Mala,1,0
11.2,0.28,0.56,1.9,0.075,17.0,0.12442396313364056,3.16,0.58,9.8,6,998.0,Media,1,0
7.4,0.7,0.0,1.9,0.076,11.0,0.06451612903225806,3.51,0.56,9.4,5,997.8000000000001,Mala,1,0
7.4,0.66,0.0,1.8,0.075,13.0,0.07834101382488479,3.51,0.56,9.4,5,997.8000000000001,Mala,1,0
7.9,0.6,0.06,1.6,0.069,15.0,0.12211981566820276,3.3,0.46,9.4,5,996.4,Mala,1,0
7.3,0.65,0.0,1.2,0.065,15.0,0.03456221198156682,3.39,0.47,10.0,7,994.6,Media,1,0
7.8,0.58,0.02,2.0,0.073,9.0,0.027649769585253458,3.36,0.57,9.5,7,996.8000000000001,Media,1,0
7.5,0.5,0.36,6.1,0.071,17.0,0.22119815668202766,3.35,0.8,10.5,5,997.8000000000001,Mala,1,0
6.7,0.58,0.08,1.8,0.0969999999999999,15.0,0.1359447004608295,3.28,0.54,9.2,5,995.9,Mala,1,0
7.5,0.5,0.36,6.1,0.071,17.0,0.22119815668202766,3.35,0.8,10.5,5,997.8000000000001,Mala,1,0
5.6,0.615,0.0,1.6,0.089,16.0,0.12211981566820276,3.58,0.52,9.9,5,994.3,Mala,1,0
7.8,0.61,0.29,1.6,0.114,9.0,0.052995391705069124,3.26,1.56,9.1,5,997.4,Mala,1,0
8.9,0.62,0.18,3.8,0.176,52.0,0.32027649769585254,3.16,0.88,9.2,5,998.6,Mala,1,0
8.9,0.62,0.19,3.9,0.17,51.0,0.3271889400921659,3.17,0.93,9.2,5,998.6,Mala,1,0
8.5,0.28,0.56,1.8,0.092,35.0,0.22350230414746544,3.3,0.75,10.5,7,996.9,Media,1,0
8.1,0.56,0.28,1.7,0.368,16.0,0.1152073732718894,3.11,1.28,9.3,5,996.8000000000001,Mala,1,0
7.4,0.59,0.08,4.4,0.086,6.0,0.052995391705069124,3.38,0.5,9.0,4,997.4,Mala,1,0
7.9,0.32,0.51,1.8,0.341,17.0,0.1152073732718894,3.04,1.08,9.2,6,996.9,Media,1,0
8.9,0.22,0.48,1.8,0.077,29.0,0.12442396313364056,3.39,0.53,9.4,6,996.8000000000001,Media,1,0
7.6,0.39,0.31,2.3,0.0819999999999999,23.0,0.1497695852534562,3.52,0.65,9.7,5,998.1999999999999,Mala,1,0
7.9,0.43,0.21,1.6,0.106,10.0,0.07142857142857142,3.17,0.91,9.5,5,996.6,Mala,1,0
8.5,0.49,0.11,2.3,0.084,9.0,0.14055299539170507,3.17,0.53,9.4,5,996.8000000000001,Mala,1,0
6.9,0.4,0.14,2.4,0.085,21.0,0.07834101382488479,3.43,0.63,9.7,6,996.8000000000001,Media,1,0
6.3,0.39,0.16,1.4,0.08,11.0,0.03917050691244239,3.34,0.56,9.3,5,995.5,Mala,1,0
7.6,0.41,0.24,1.8,0.08,4.0,0.01152073732718894,3.28,0.59,9.5,5,996.1999999999999,Mala,1,0
7.9,0.43,0.21,1.6,0.106,10.0,0.07142857142857142,3.17,0.91,9.5,5,996.6,Mala,1,0
7.1,0.71,0.0,1.9,0.08,14.0,0.06682027649769585,3.47,0.55,9.4,5,997.1999999999999,Mala,1,0
7.8,0.645,0.0,2.0,0.0819999999999999,8.0,0.02304147465437788,3.38,0.59,9.8,6,996.4,Media,1,0
6.7,0.675,0.07,2.4,0.089,17.0,0.17511520737327188,3.35,0.54,10.1,5,995.8000000000001,Mala,1,0
6.9,0.685,0.0,2.5,0.105,22.0,0.07142857142857142,3.46,0.57,10.6,6,996.6,Media,1,0
8.3,0.655,0.12,2.3,0.083,15.0,0.2465437788018433,3.17,0.66,9.8,5,996.6,Mala,1,0
6.9,0.605,0.12,10.7,0.073,40.0,0.1774193548387097,3.45,0.52,9.4,6,999.3,Media,1,0
5.2,0.32,0.25,1.8,0.103,13.0,0.10138248847926268,3.38,0.55,9.2,5,995.7,Mala,1,0
7.8,0.645,0.0,5.5,0.086,5.0,0.027649769585253458,3.4,0.55,9.6,6,998.6,Media,1,0
7.8,0.6,0.14,2.4,0.086,3.0,0.020737327188940093,3.42,0.6,10.8,6,997.5,Media,1,0
8.1,0.38,0.28,2.1,0.066,13.0,0.055299539170506916,3.23,0.73,9.7,7,996.8000000000001,Media,1,0
5.7,1.13,0.09,1.5,0.172,7.0,0.029953917050691243,3.5,0.48,9.8,4,994.0,Mala,1,0
7.3,0.45,0.36,5.9,0.074,12.0,0.18663594470046083,3.33,0.83,10.5,5,997.8000000000001,Mala,1,0
7.3,0.45,0.36,5.9,0.074,12.0,0.18663594470046083,3.33,0.83,10.5,5,997.8000000000001,Mala,1,0
8.8,0.61,0.3,2.8,0.088,17.0,0.09216589861751152,3.26,0.51,9.3,4,997.6,Mala,1,0
7.5,0.49,0.2,2.6,0.332,8.0,0.018433179723502304,3.21,0.9,10.5,6,996.8000000000001,Media,1,0
8.1,0.66,0.22,2.2,0.069,9.0,0.03917050691244239,3.3,1.2,10.3,5,996.8000000000001,Mala,1,0
